,cbsa,year,murder,city
0,10740,1970,0.0,"Albuquerque,NM"
1,10740,1971,2.0,"Albuquerque,NM"
2,10740,1972,0.0,"Albuquerque,NM"
3,10740,1973,5.0,"Albuquerque,NM"
4,10740,1974,4.0,"Albuquerque,NM"
5,10740,1975,3.0,"Albuquerque,NM"
6,10740,1976,2.0,"Albuquerque,NM"
7,10740,1977,3.0,"Albuquerque,NM"
8,10740,1978,4.0,"Albuquerque,NM"
9,10740,1979,2.0,"Albuquerque,NM"
10,10740,1980,4.0,"Albuquerque,NM"
11,10740,1981,2.0,"Albuquerque,NM"
12,10740,1982,4.0,"Albuquerque,NM"
13,10740,1983,13.0,"Albuquerque,NM"
14,10740,1984,21.0,"Albuquerque,NM"
15,10740,1985,9.0,"Albuquerque,NM"
16,10740,1986,23.0,"Albuquerque,NM"
17,10740,1987,12.0,"Albuquerque,NM"
18,10740,1988,26.0,"Albuquerque,NM"
19,10740,1989,19.0,"Albuquerque,NM"
20,10740,1990,17.0,"Albuquerque,NM"
21,10740,1991,26.0,"Albuquerque,NM"
22,10740,1992,2.0,"Albuquerque,NM"
23,10740,1993,7.0,"Albuquerque,NM"
24,10740,1994,7.0,"Albuquerque,NM"
25,10740,1995,3.0,"Albuquerque,NM"
26,10740,1996,4.0,"Albuquerque,NM"
27,10740,1997,2.0,"Albuquerque,NM"
28,10740,1998,0.0,"Albuquerque,NM"
29,10740,1999,1.0,"Albuquerque,NM"
30,10740,2000,13.0,"Albuquerque,NM"
31,10740,2001,4.0,"Albuquerque,NM"
32,10740,2002,9.0,"Albuquerque,NM"
33,10740,2003,9.0,"Albuquerque,NM"
34,10740,2004,12.0,"Albuquerque,NM"
35,10740,2005,7.0,"Albuquerque,NM"
36,10740,2006,8.0,"Albuquerque,NM"
37,10740,2007,8.0,"Albuquerque,NM"
38,10740,2008,8.0,"Albuquerque,NM"
39,10740,2009,12.0,"Albuquerque,NM"
40,10740,2010,5.0,"Albuquerque,NM"
41,10740,2011,4.0,"Albuquerque,NM"
42,10740,2012,9.0,"Albuquerque,NM"
43,10740,2013,6.0,"Albuquerque,NM"
44,10740,2014,2.0,"Albuquerque,NM"
45,11260,1960,91.0,"Anchorage,AK"
46,11260,1961,85.0,"Anchorage,AK"
47,11260,1962,67.0,"Anchorage,AK"
48,11260,1963,102.0,"Anchorage,AK"
49,11260,1964,128.0,"Anchorage,AK"
50,11260,1965,113.0,"Anchorage,AK"
51,11260,1966,154.0,"Anchorage,AK"
52,11260,1967,171.0,"Anchorage,AK"
53,11260,1968,198.0,"Anchorage,AK"
54,11260,1969,287.0,"Anchorage,AK"
55,11260,1970,298.0,"Anchorage,AK"
56,11260,1971,305.0,"Anchorage,AK"
57,11260,1972,332.0,"Anchorage,AK"
58,11260,1973,308.0,"Anchorage,AK"
59,11260,1974,345.0,"Anchorage,AK"
60,11260,1975,333.0,"Anchorage,AK"
61,11260,1976,250.0,"Anchorage,AK"
62,11260,1977,291.0,"Anchorage,AK"
63,11260,1978,232.0,"Anchorage,AK"
64,11260,1979,302.0,"Anchorage,AK"
65,11260,1980,270.0,"Anchorage,AK"
66,11260,1981,242.0,"Anchorage,AK"
67,11260,1982,246.0,"Anchorage,AK"
68,11260,1983,157.0,"Anchorage,AK"
69,11260,1984,186.0,"Anchorage,AK"
70,11260,1985,151.0,"Anchorage,AK"
71,11260,1986,155.0,"Anchorage,AK"
72,11260,1987,169.0,"Anchorage,AK"
73,11260,1988,173.0,"Anchorage,AK"
74,11260,1989,164.0,"Anchorage,AK"
75,11260,1990,203.0,"Anchorage,AK"
76,11260,1991,203.0,"Anchorage,AK"
77,11260,1992,198.0,"Anchorage,AK"
78,11260,1993,185.0,"Anchorage,AK"
79,11260,1994,172.0,"Anchorage,AK"
80,11260,1995,143.0,"Anchorage,AK"
81,11260,1996,114.0,"Anchorage,AK"
82,11260,1997,91.0,"Anchorage,AK"
83,11260,1998,95.0,"Anchorage,AK"
84,11260,1999,81.0,"Anchorage,AK"
85,11260,2000,82.0,"Anchorage,AK"
86,11260,2001,89.0,"Anchorage,AK"
87,11260,2002,95.0,"Anchorage,AK"
88,11260,2003,83.0,"Anchorage,AK"
89,11260,2004,93.0,"Anchorage,AK"
90,11260,2005,127.0,"Anchorage,AK"
91,11260,2006,95.0,"Anchorage,AK"
92,11260,2007,122.0,"Anchorage,AK"
93,11260,2008,68.0,"Anchorage,AK"
94,11260,2009,115.0,"Anchorage,AK"
95,11260,2010,96.0,"Anchorage,AK"
96,11260,2011,89.0,"Anchorage,AK"
97,11260,2012,110.0,"Anchorage,AK"
98,11260,2013,82.0,"Anchorage,AK"
99,11260,2014,79.0,"Anchorage,AK"
100,12060,1960,37.0,"Atlanta,GA"
101,12060,1961,34.0,"Atlanta,GA"
102,12060,1962,41.0,"Atlanta,GA"
103,12060,1963,38.0,"Atlanta,GA"
104,12060,1964,46.0,"Atlanta,GA"
105,12060,1965,65.0,"Atlanta,GA"
106,12060,1966,53.0,"Atlanta,GA"
107,12060,1967,77.0,"Atlanta,GA"
108,12060,1968,74.0,"Atlanta,GA"
109,12060,1969,73.0,"Atlanta,GA"
110,12060,1970,109.0,"Atlanta,GA"
111,12060,1971,94.0,"Atlanta,GA"
112,12060,1972,101.0,"Atlanta,GA"
113,12060,1973,111.0,"Atlanta,GA"
114,12060,1974,134.0,"Atlanta,GA"
115,12060,1975,136.0,"Atlanta,GA"
116,12060,1976,83.0,"Atlanta,GA"
117,12060,1977,93.0,"Atlanta,GA"
118,12060,1978,99.0,"Atlanta,GA"
119,12060,1979,111.0,"Atlanta,GA"
120,12060,1980,111.0,"Atlanta,GA"
121,12060,1981,134.0,"Atlanta,GA"
122,12060,1982,108.0,"Atlanta,GA"
123,12060,1983,125.0,"Atlanta,GA"
124,12060,1984,151.0,"Atlanta,GA"
125,12060,1985,132.0,"Atlanta,GA"
126,12060,1986,139.0,"Atlanta,GA"
127,12060,1987,146.0,"Atlanta,GA"
128,12060,1988,151.0,"Atlanta,GA"
129,12060,1989,184.0,"Atlanta,GA"
130,12060,1990,189.0,"Atlanta,GA"
131,12060,1991,223.0,"Atlanta,GA"
132,12060,1992,199.0,"Atlanta,GA"
133,12060,1993,255.0,"Atlanta,GA"
134,12060,1994,206.0,"Atlanta,GA"
135,12060,1995,182.0,"Atlanta,GA"
136,12060,1996,152.0,"Atlanta,GA"
137,12060,1997,165.0,"Atlanta,GA"
138,12060,1998,161.0,"Atlanta,GA"
139,12060,1999,168.0,"Atlanta,GA"
140,12060,2000,164.0,"Atlanta,GA"
